level_0,Symbols,Close,High,Low,Open,Volume
06/05/2021,CMG,1411.41,1427.83,1392.21,1425.69,287509
06/05/2021,WEN,22.8,22.96,22.62,22.81,1270759
06/05/2021,DPZ,430.03,436.52,428.44,434.48,525162
07/05/2021,PBPB,7.17,7.4,6.0398,6.29,635653
07/05/2021,SBUX,114.34,115.84,114.24,115.11,4867501
07/05/2021,CMG,1426.05,1440.89,1420.94,1422.98,188309
07/05/2021,WEN,22.8,22.94,22.68,22.82,3420242
07/05/2021,DPZ,432.47,434.26,430.6,430.6,566054
10/05/2021,PBPB,7.21,7.32,7.04,7.2,196279
10/05/2021,SBUX,114.3,116.085,114.21,114.57,5759483
